id,timestamp,normalized_time,facility,severity,severity_name,priority,hostname,program,pid,message,device_type,event_category,event_subcategory,source_ip,destination_ip,source_port,destination_port,protocol,username,interface,threat_name,bgp_peer,as_number,ospf_area,risk_score,is_security,is_authentication,is_network_event,is_system_event,data_quality_issues
839bfc3e5accea1e,2025-08-21 05:29:56,2025-08-21T05:29:56.000Z,16,6,Info,134,EDGE-RTR-01,SYS,22821,SYS-6-CPU_USAGE: CPU utilization for 5 seconds: 93%; one minute: 88%; five minutes: 83%,cisco,system,resource_monitoring,,,0,93,,,for,,,0,,5,false,false,false,true,
3a75b839afadedac,2025-08-21 07:18:32,2025-08-21T07:18:32.000Z,16,4,Warning,132,EDGE-RTR-01,IPSLA,24574,IPSLA-6-PROBE_LATENCY: RTT probe to 10.10.1.120 exceeded threshold: 208ms (threshold: 100ms),cisco,security,reconnaissance,10.10.1.120,,0,208,,,,,,0,,50,true,false,false,false,
3a62c46b3341e98d,2025-08-21 17:47:13,2025-08-21T17:47:13.000Z,16,4,Warning,132,CORE-RTR-01,OSPF,11446,"OSPF-5-ADJCHG: Process 1, Nbr 198.51.100.209 on GigabitEthernet0/0/0 from LOADING to FULL, Loading Done",cisco,network,ospf_event,198.51.100.209,,0,0,OSPF,,GigabitEthernet0/0/0,,,0,,35,false,false,true,false,
d73a425b4a717ef1,2025-08-21 01:45:26,2025-08-21T01:45:26.000Z,16,4,Warning,132,WAN-RTR-01,IPSLA,9004,IPSLA-6-PROBE_LATENCY: RTT probe to 203.0.113.208 exceeded threshold: 155ms (threshold: 100ms),cisco,security,reconnaissance,203.0.113.208,,0,155,,,,,,0,,65,true,false,false,false,
70632186087b6357,2025-08-21 07:26:32,2025-08-21T07:26:32.000Z,16,3,Error,131,MPLS-PE-02,LINEPROTO,3617,"LINEPROTO-5-UPDOWN: Line protocol on Interface TenGigabitEthernet0/0/0, changed state to down",cisco,network,interface_event,,,0,0,,,TenGigabitEthernet0/0/0,,,0,,30,false,false,true,false,
fa1f5632749cdff4,2025-08-21 20:01:08,2025-08-21T20:01:08.000Z,16,6,Info,134,MPLS-PE-02,SYSTEM,28797,Unknown event type,cisco,other,unclassified,,,0,0,,,,,,0,,5,false,false,false,false,
116bdccee13c4212,2025-08-21 09:38:13,2025-08-21T09:38:13.000Z,16,6,Info,134,DIST-SW-02,SYS,15593,SYS-6-CPU_USAGE: CPU utilization for 5 seconds: 72%; one minute: 67%; five minutes: 62%,cisco,system,resource_monitoring,,,0,72,,,for,,,0,,5,false,false,false,true,
07339afdb17494d5,2025-08-21 01:13:12,2025-08-21T01:13:12.000Z,16,6,Info,134,DIST-SW-01,SSH2,4257,"SSH2_SESSION: SSH2 Session request from 192.168.100.238 (tty = 0) using crypto cipher 'aes256-ctr', hmac 'hmac-sha2-256' Succeeded for user 'attacker'",cisco,authentication,authentication_event,192.168.100.238,,0,0,,attacker,request,,,0,,5,false,true,false,false,
c02b6ca05e720b36,2025-08-21 02:28:45,2025-08-21T02:28:45.000Z,16,4,Warning,132,ACCESS-SW-01,IPSLA,5620,IPSLA-6-PROBE_LATENCY: RTT probe to 172.16.10.131 exceeded threshold: 381ms (threshold: 100ms),cisco,security,reconnaissance,172.16.10.131,,0,381,,,,,,0,,50,true,false,false,false,
e290f3517ece4146,2025-08-20 21:46:08,2025-08-20T21:46:08.000Z,16,6,Info,134,CORE-RTR-02,SYS,28850,SYS-6-CPU_USAGE: CPU utilization for 5 seconds: 70%; one minute: 65%; five minutes: 60%,cisco,system,resource_monitoring,,,0,70,,,for,,,0,,5,false,false,false,true,
419bcda7b99c3b7f,2025-08-21 06:50:40,2025-08-21T06:50:40.000Z,16,5,Notice,133,WAN-RTR-02,ROUTING,28244,ROUTING-5-ROUTE_CHANGE: Route 8.8.8.0/24 via 1.1.1.61 added to routing table,cisco,network,routing_event,1.1.1.61,8.8.8.0,0,0,,,,,,0,,25,false,false,true,false,
dd9b1f93bc5e60ea,2025-08-20 23:40:13,2025-08-20T23:40:13.000Z,16,4,Warning,132,CORE-RTR-01,IPSLA,18035,IPSLA-6-PROBE_LATENCY: RTT probe to 203.0.113.17 exceeded threshold: 446ms (threshold: 100ms),cisco,security,reconnaissance,203.0.113.17,,0,446,,,,,,0,,65,true,false,false,false,
