id,timestamp,normalized_time,facility,severity,severity_name,priority,hostname,program,pid,message,device_type,event_category,event_subcategory,source_ip,destination_ip,source_port,destination_port,protocol,username,interface,threat_name,bgp_peer,as_number,ospf_area,risk_score,is_security,is_authentication,is_network_event,is_system_event,data_quality_issues
f7cdf7365e3cfd64,2025-08-21 09:26:49,2025-08-21T09:26:49.000Z,16,6,Info,134,JUN-RTR-CORE-02,chassisd,7042,CPU utilization: 68% (5-minute average),cisco,system,resource_monitoring,,,0,68,,,,,,0,,5,false,false,false,true,
0f0e643c40a25396,2025-08-21 15:00:00,2025-08-21T15:00:00.000Z,16,2,Critical,130,JUN-SRX-01,kernel,23065,Security: Suspicious activity detected from 10.0.10.201 scanning 172.16.1.222 port 27017,juniper,security,reconnaissance,10.0.10.201,172.16.1.222,0,27017,,,,,,0,,70,true,false,false,false,
d9903ef01d787e13,2025-08-21 07:51:44,2025-08-21T07:51:44.000Z,16,5,Notice,133,JUN-EX-02,rpd,13725,route_change: Route 192.168.10.0/24 nexthop 172.16.1.198 protocol DIRECT added to inet.0,juniper,network,routing_event,172.16.1.198,192.168.10.0,0,0,,,,,,0,,10,false,false,true,false,
b4525f98c2ef830a,2025-08-21 07:13:04,2025-08-21T07:13:04.000Z,16,3,Error,131,JUN-MX-02,rpd,10321,bgp_peer_up: BGP peer 203.0.113.2 (External AS 701) transitioned from Connect to Established,juniper,network,bgp_event,203.0.113.2,,0,0,BGP,,,,203.0.113.2,701,,45,false,false,true,false,
de82a358a01d44e9,2025-08-21 06:28:56,2025-08-21T06:28:56.000Z,16,6,Info,134,JUN-RTR-EDGE-01,chassisd,29661,Memory utilization: 89% of available memory,juniper,system,resource_monitoring,,,0,89,,,,,,0,,5,false,false,false,true,
bbb703b5a35e5716,2025-08-21 11:56:59,2025-08-21T11:56:59.000Z,16,6,Info,134,JUN-RTR-EDGE-01,kernel,11083,Unknown event type,cisco,other,unclassified,,,0,0,,,,,,0,,5,false,false,false,false,
da8981708f60db49,2025-08-21 13:31:18,2025-08-21T13:31:18.000Z,16,4,Warning,132,PA-FW-MGMT-01,reportd,29377,Health monitor probe to 198.51.100.44 failed - response time 146ms exceeds threshold,paloalto,authentication,login_failure,198.51.100.44,,0,0,,,,,,0,,35,false,true,false,false,
49f252eab39d814f,2025-08-21 03:08:32,2025-08-21T03:08:32.000Z,16,6,Info,134,JUN-MX-02,sshd,17469,sshd[8299]: Accepted password for david.brown from 203.0.113.203 port 22 ssh2,juniper,authentication,login_success,203.0.113.203,,0,22,,,,,,0,,30,false,true,false,false,
5d221f971fb37f69,2025-08-21 09:13:27,2025-08-21T09:13:27.000Z,16,6,Info,134,PA-FW-INET-02,system,20258,Unknown event type,paloalto,other,unclassified,,,0,0,,,,,,0,,5,false,false,false,false,
7087061eb40aad90,2025-08-21 09:15:05,2025-08-21T09:15:05.000Z,16,2,Critical,130,PA-FW-02,threat,13069,"THREAT,1,2023/08/16 Aug 21 01:30:24,PA-FW-02,THREAT,10.10.1.60,1.1.1.127,10.10.1.60,1.1.1.127,3306,25,0x0,tcp,alert,""Trojan.Win32""",paloalto,security,threat_detection,1.1.1.127,10.10.1.60,0,30,TCP,,,30:24,,0,,100,true,false,false,false,
